OBJECTID,Struct_ID,Source_ID,FR_TOT,AEP_TOT,SV_TOT,FDP_TOT,R_SCORE,SHAPE_Leng,SHAPE_Area,lat,lon
"1","157256","157256",44.00000000000,90.00000000000,0.00000000000,7.40000000000,47.76000000000,0.00044350418,0.00000001044,39.718793,-105.043040
"2","159778","159778",20.00000000000,2.00000000000,0.00000000000,16.80000000000,11.52000000000,0.00039694968,0.00000000829,39.720214,-105.038748
"3","159259","159259",44.00000000000,70.00000000000,0.00000000000,48.40000000000,56.16000000000,0.00052184834,0.00000001440,39.719924,-105.039429
"4","159537","159537",20.00000000000,0.00000000000,0.00000000000,16.80000000000,10.72000000000,0.00040949905,0.00000000878,39.720106,-105.039991
"5","159370","159370",20.00000000000,0.00000000000,0.00000000000,16.80000000000,10.72000000000,0.00047526970,0.00000000896,39.720004,-105.040626
"6","159209","159209",20.00000000000,5.00000000000,0.00000000000,23.20000000000,15.28000000000,0.00052555144,0.00000001296,39.719914,-105.041193
"7","157177","157177",50.00000000000,99.00000000000,0.00000000000,48.40000000000,68.96000000000,0.00042694498,0.00000001020,39.718727,-105.044743
"8","157587","157587",20.00000000000,2.00000000000,0.00000000000,16.80000000000,11.52000000000,0.00045632257,0.00000001101,39.718937,-105.044253
"9","157869","157869",20.00000000000,35.00000000000,0.00000000000,23.20000000000,27.28000000000,0.00050889597,0.00000001146,39.719106,-105.043043
"10","156811","156811",70.00000000000,99.00000000000,0.00000000000,10.60000000000,57.84000000000,0.00042329104,0.00000000889,39.718431,-105.043034
"11","157355","157355",44.00000000000,55.00000000000,0.00000000000,11.00000000000,35.20000000000,0.00044525612,0.00000001088,39.718816,-105.042389
"12","158063","158063",50.00000000000,60.00000000000,0.00000000000,11.00000000000,38.40000000000,0.00049822179,0.00000001267,39.719217,-105.042386
"13","158297","158297",44.00000000000,55.00000000000,0.00000000000,11.00000000000,35.20000000000,0.00042665905,0.00000001085,39.719336,-105.042371
"14","158565","158565",20.00000000000,35.00000000000,0.00000000000,33.60000000000,31.44000000000,0.00054463182,0.00000001606,39.719477,-105.042390
"15","158677","158677",20.00000000000,20.00000000000,0.00000000000,31.20000000000,24.48000000000,0.00059905435,0.00000001771,39.719559,-105.041781
"16","158496","158496",20.00000000000,50.00000000000,0.00000000000,33.60000000000,37.44000000000,0.00065814835,0.00000002071,39.719435,-105.041234
"17","157999","157999",44.00000000000,70.00000000000,0.00000000000,11.00000000000,41.20000000000,0.00041594114,0.00000000924,39.719178,-105.041836
"18","158246","158246",44.00000000000,65.00000000000,0.00000000000,60.00000000000,58.80000000000,0.00044164980,0.00000001002,39.719295,-105.041824
"19","158702","158702",70.00000000000,90.00000000000,0.00000000000,19.60000000000,57.84000000000,0.00048897467,0.00000000852,39.719598,-105.040594
"20","158385","158385",70.00000000000,90.00000000000,0.00000000000,21.20000000000,58.48000000000,0.00044373704,0.00000000818,39.719387,-105.040576
"21","158142","158142",60.00000000000,75.00000000000,0.00000000000,12.20000000000,46.88000000000,0.00051767624,0.00000001554,39.719221,-105.040624
"22","157636","157636",70.00000000000,80.00000000000,0.00000000000,69.60000000000,73.84000000000,0.00059378191,0.00000001553,39.718968,-105.040622
"23","157409","157409",70.00000000000,90.00000000000,0.00000000000,86.00000000000,84.40000000000,0.00054369005,0.00000001383,39.718837,-105.040647
"24","158693","158693",50.00000000000,60.00000000000,0.00000000000,58.80000000000,57.52000000000,0.00049389317,0.00000001215,39.719564,-105.039982
"25","157220","157220",44.00000000000,55.00000000000,0.00000000000,56.40000000000,53.36000000000,0.00038578935,0.00000000831,39.718762,-105.039440
"26","158708","158708",60.00000000000,65.00000000000,0.00000000000,68.40000000000,65.36000000000,0.00047696897,0.00000001200,39.719564,-105.038733
"27","158272","158272",50.00000000000,65.00000000000,0.00000000000,58.80000000000,59.52000000000,0.00056462199,0.00000001321,39.719307,-105.038247
"28","157973","157973",20.00000000000,40.00000000000,0.00000000000,4.40000000000,21.76000000000,0.00061572931,0.00000001781,39.719144,-105.038237
"29","157603","157603",20.00000000000,45.00000000000,0.00000000000,31.60000000000,34.64000000000,0.00045855195,0.00000001085,39.718935,-105.038258
"30","157185","157185",20.00000000000,15.00000000000,0.00000000000,23.20000000000,19.28000000000,0.00043484152,0.00000000919,39.718723,-105.038257
"31","157056","157056",0.00000000000,0.00000000000,0.00000000000,28.00000000000,11.20000000000,0.00045229207,0.00000001119,39.718606,-105.038231
"32","155370","155370",20.00000000000,2.00000000000,0.00000000000,16.80000000000,11.52000000000,0.00060147891,0.00000001348,39.717364,-105.043565
"33","154701","154701",20.00000000000,45.00000000000,0.00000000000,4.40000000000,23.76000000000,0.00055129420,0.00000001386,39.716958,-105.043020
"34","155945","155945",20.00000000000,15.00000000000,0.00000000000,4.40000000000,11.76000000000,0.00050153039,0.00000001378,39.717751,-105.043016
"35","156348","156348",60.00000000000,80.00000000000,0.00000000000,70.40000000000,72.16000000000,0.00046596898,0.00000001343,39.717979,-105.042602
"36","156321","156321",60.00000000000,75.00000000000,0.00000000000,14.20000000000,47.68000000000,0.00060074452,0.00000001729,39.717997,-105.042407
"37","155688","155688",20.00000000000,15.00000000000,0.00000000000,31.20000000000,22.48000000000,0.00044956448,0.00000000994,39.717568,-105.042422
"38","155711","155711",20.00000000000,15.00000000000,0.00000000000,23.20000000000,19.28000000000,0.00066985990,0.00000001615,39.717565,-105.041145
"39","152280","152280",20.00000000000,25.00000000000,0.00000000000,4.40000000000,15.76000000000,0.00055329763,0.00000001677,39.715282,-105.044788
